,s1,s2,s3,s4,e1,e2,e3,e4
0,0.05,0.05,0.05,0.05,0.1965999999999931,0.1965999999999931,0.1965999999999931,0.41020000000002066
1,0.05,0.05,0.05,0.1,0.1965999999999931,0.1965999999999931,0.1965999999999931,0.41020000000002066
2,0.05,0.05,0.05,0.15000000000000002,0.1965999999999931,0.1965999999999931,0.1965999999999931,0.41020000000002066
3,0.05,0.05,0.05,0.2,0.1965999999999931,0.1965999999999931,0.1965999999999931,0.41020000000002066
4,0.05,0.05,0.05,0.25,0.1965999999999931,0.1965999999999931,0.1965999999999931,0.41020000000002066
5,0.05,0.05,0.05,0.3,0.1965999999999931,0.1965999999999931,0.1965999999999931,0.41020000000002066
6,0.05,0.05,0.05,0.35,0.1965999999999931,0.1965999999999931,0.1965999999999931,0.41020000000002066
7,0.05,0.05,0.05,0.39999999999999997,0.1965999999999931,0.1965999999999931,0.1965999999999931,0.41020000000002066
8,0.05,0.05,0.05,0.44999999999999996,0.1965999999999931,0.1965999999999931,0.1965999999999931,0.41020000000002066
9,0.05,0.05,0.05,0.49999999999999994,0.1965999999999931,0.1965999999999931,0.1965999999999931,0.41020000000002066
10,0.05,0.05,0.05,0.5499999999999999,0.1965999999999931,0.1965999999999931,0.1965999999999931,0.41020000000002066
11,0.05,0.05,0.05,0.6,0.1965999999999931,0.1965999999999931,0.1965999999999931,0.41020000000002066
12,0.05,0.05,0.05,0.65,0.1965999999999931,0.1965999999999931,0.1965999999999931,0.41020000000002066
13,0.05,0.05,0.05,0.7000000000000001,0.1965999999999931,0.1965999999999931,0.1965999999999931,0.41020000000002066
14,0.05,0.05,0.05,0.7500000000000001,0.1965999999999931,0.1965999999999931,0.1965999999999931,0.41020000000002066
15,0.05,0.05,0.05,0.8000000000000002,0.1965999999999931,0.1965999999999931,0.1965999999999931,0.41020000000002066
16,0.05,0.05,0.1,0.05,0.14745,0.14745,0.2949,0.4102
17,0.05,0.05,0.1,0.1,0.14745,0.14745,0.2949,0.4102
18,0.05,0.05,0.1,0.15000000000000002,0.14745,0.14745,0.2949,0.4102
19,0.05,0.05,0.1,0.2,0.14745,0.14745,0.2949,0.4102
20,0.05,0.05,0.1,0.25,0.14745,0.14745,0.2949,0.4102
21,0.05,0.05,0.1,0.3,0.14745,0.14745,0.2949,0.4102
22,0.05,0.05,0.1,0.35,0.14745,0.14745,0.2949,0.4102
23,0.05,0.05,0.1,0.39999999999999997,0.14745,0.14745,0.2949,0.4102
24,0.05,0.05,0.1,0.44999999999999996,0.14745,0.14745,0.2949,0.4102
25,0.05,0.05,0.1,0.49999999999999994,0.14745,0.14745,0.2949,0.4102
26,0.05,0.05,0.1,0.5499999999999999,0.14745,0.14745,0.2949,0.4102
27,0.05,0.05,0.1,0.6,0.14745,0.14745,0.2949,0.4102
28,0.05,0.05,0.1,0.65,0.14745,0.14745,0.2949,0.4102
29,0.05,0.05,0.1,0.7000000000000001,0.14745,0.14745,0.2949,0.4102
