,p1,p2,p3,p4,ll
43,0.01,0.035,0.11000000000000001,0.845,-1167.3105312729024
44,0.01,0.035,0.135,0.82,-1091.5796099616423
45,0.01,0.035,0.16,0.7949999999999999,-1027.7037921466842
46,0.01,0.035,0.185,0.77,-973.0600644239581
47,0.01,0.035,0.21,0.745,-925.850137129825
48,0.01,0.035,0.235,0.72,-884.7919545792975
49,0.01,0.035,0.26,0.6950000000000001,-848.943874033242
50,0.01,0.035,0.28500000000000003,0.6699999999999999,-817.5985657146474
51,0.01,0.035,0.31000000000000005,0.645,-790.2160207780546
52,0.01,0.035,0.3350000000000001,0.6199999999999999,-766.3797056557175
53,0.01,0.035,0.3600000000000001,0.595,-745.7670587771318
54,0.01,0.035,0.3850000000000001,0.5699999999999998,-728.1292467645831
55,0.01,0.035,0.41000000000000014,0.5449999999999999,-713.2771376134339
56,0.01,0.035,0.43500000000000016,0.5199999999999998,-701.0716222263769
57,0.01,0.035,0.4600000000000002,0.4949999999999998,-691.4171237232183
58,0.01,0.035,0.4850000000000002,0.46999999999999975,-684.2575846030575
59,0.01,0.035,0.5100000000000002,0.44499999999999973,-679.5745300151623
60,0.01,0.035,0.5350000000000003,0.4199999999999997,-677.387039661786
61,0.01,0.035,0.5600000000000003,0.3949999999999997,-677.7536678276103
62,0.01,0.035,0.5850000000000003,0.36999999999999966,-680.7765700467023
63,0.01,0.035,0.6100000000000003,0.34499999999999964,-686.6083697930848
64,0.01,0.035,0.6350000000000003,0.3199999999999996,-695.4626915886769
65,0.01,0.035,0.6600000000000004,0.2949999999999996,-707.6299016700449
66,0.01,0.035,0.6850000000000004,0.2699999999999996,-723.5006232239098
67,0.01,0.035,0.7100000000000004,0.24499999999999955,-743.6014001405788
68,0.01,0.035,0.7350000000000004,0.21999999999999953,-768.650238737654
69,0.01,0.035,0.7600000000000005,0.1949999999999995,-799.6463590129033
70,0.01,0.035,0.7850000000000005,0.16999999999999948,-838.0223835887904
71,0.01,0.035,0.8100000000000005,0.14499999999999946,-885.9189456435291
72,0.01,0.035,0.8350000000000005,0.11999999999999944,-946.7221691975595
73,0.01,0.035,0.8600000000000005,0.09499999999999942,-1026.2381946950582
74,0.01,0.035,0.8850000000000006,0.0699999999999994,-1135.70001325909
75,0.01,0.035,0.9100000000000006,0.044999999999999374,-1301.6690161433855
76,0.01,0.035,0.9350000000000006,0.01999999999999935,-1619.740849840987
77,0.01,0.060000000000000005,0.01,0.92,-1521.9240127715125
78,0.01,0.060000000000000005,0.035,0.895,-1373.07808452839
79,0.01,0.060000000000000005,0.060000000000000005,0.87,-1258.9267776762122
80,0.01,0.060000000000000005,0.085,0.845,-1167.3105312729024
81,0.01,0.060000000000000005,0.11000000000000001,0.82,-1091.5796099616423
82,0.01,0.060000000000000005,0.135,0.7949999999999999,-1027.7037921466842
83,0.01,0.060000000000000005,0.16,0.77,-973.0600644239581
84,0.01,0.060000000000000005,0.185,0.745,-925.850137129825
85,0.01,0.060000000000000005,0.21,0.72,-884.7919545792975
86,0.01,0.060000000000000005,0.235,0.6950000000000001,-848.943874033242
87,0.01,0.060000000000000005,0.26,0.6699999999999999,-817.5985657146474
88,0.01,0.060000000000000005,0.28500000000000003,0.645,-790.2160207780546
89,0.01,0.060000000000000005,0.31000000000000005,0.6199999999999999,-766.3797056557175
90,0.01,0.060000000000000005,0.3350000000000001,0.595,-745.7670587771318
91,0.01,0.060000000000000005,0.3600000000000001,0.5699999999999998,-728.1292467645831
92,0.01,0.060000000000000005,0.3850000000000001,0.5449999999999999,-713.2771376134339
93,0.01,0.060000000000000005,0.41000000000000014,0.5199999999999998,-701.0716222263769
94,0.01,0.060000000000000005,0.43500000000000016,0.4949999999999999,-691.4171237232183
95,0.01,0.060000000000000005,0.4600000000000002,0.46999999999999975,-684.2575846030575
96,0.01,0.060000000000000005,0.4850000000000002,0.44499999999999984,-679.5745300151623
97,0.01,0.060000000000000005,0.5100000000000002,0.4199999999999997,-677.387039661786
98,0.01,0.060000000000000005,0.5350000000000003,0.3949999999999998,-677.7536678276103
99,0.01,0.060000000000000005,0.5600000000000003,0.36999999999999966,-680.7765700467023
100,0.01,0.060000000000000005,0.5850000000000003,0.34499999999999975,-686.6083697930848
101,0.01,0.060000000000000005,0.6100000000000003,0.3199999999999996,-695.4626915886769
102,0.01,0.060000000000000005,0.6350000000000003,0.2949999999999997,-707.6299016700449
103,0.01,0.060000000000000005,0.6600000000000004,0.2699999999999996,-723.5006232239098
104,0.01,0.060000000000000005,0.6850000000000004,0.24499999999999966,-743.6014001405788
105,0.01,0.060000000000000005,0.7100000000000004,0.21999999999999953,-768.650238737654
106,0.01,0.060000000000000005,0.7350000000000004,0.19499999999999962,-799.6463590129033
107,0.01,0.060000000000000005,0.7600000000000005,0.16999999999999948,-838.0223835887904
108,0.01,0.060000000000000005,0.7850000000000005,0.14499999999999957,-885.9189456435291
109,0.01,0.060000000000000005,0.8100000000000005,0.11999999999999944,-946.7221691975595
110,0.01,0.060000000000000005,0.8350000000000005,0.09499999999999953,-1026.2381946950582
111,0.01,0.060000000000000005,0.8600000000000005,0.0699999999999994,-1135.70001325909
112,0.01,0.060000000000000005,0.8850000000000006,0.044999999999999485,-1301.6690161433855
113,0.01,0.060000000000000005,0.9100000000000006,0.01999999999999935,-1619.740849840987
114,0.01,0.085,0.01,0.895,-1373.07808452839
115,0.01,0.085,0.035,0.87,-1258.9267776762122
116,0.01,0.085,0.060000000000000005,0.845,-1167.3105312729024
