,p1,p2,p3,ll
0,0,0,1,-Infinity
1,0,0.01,0.99,-1907.8348339590868
2,0,0.02,0.98,-1627.5244904372082
3,0,0.03,0.97,-1466.0879663866765
4,0,0.04,0.96,-1353.3582264539566
5,0,0.05,0.95,-1267.3465927832904
6,0,0.060000000000000005,0.94,-1198.2594880044123
7,0,0.07,0.9299999999999999,-1140.8733919472857
8,0,0.08,0.92,-1092.0709345465325
9,0,0.09,0.91,-1049.841905222842
10,0,0.09999999999999999,0.9,-1012.8142660976848
11,0,0.10999999999999999,0.89,-980.0098892895982
12,0,0.11999999999999998,0.88,-950.70702952694
13,0,0.12999999999999998,0.87,-924.358035706236
14,0,0.13999999999999999,0.86,-900.5376459561805
15,0,0.15,0.85,-878.9091653730628
16,0,0.16,0.84,-859.2015827820367
17,0,0.17,0.83,-841.1936381162711
18,0,0.18000000000000002,0.82,-824.7024518328587
19,0,0.19000000000000003,0.8099999999999999,-809.5752337996299
20,0,0.20000000000000004,0.7999999999999999,-795.6831224567245
21,0,0.21000000000000005,0.7899999999999999,-782.916529810176
22,0,0.22000000000000006,0.7799999999999999,-771.1815714843166
23,0,0.23000000000000007,0.7699999999999999,-760.3972921812401
24,0,0.24000000000000007,0.7599999999999999,-750.4934833063135
25,0,0.25000000000000006,0.75,-741.4089476717102
26,0,0.26000000000000006,0.74,-733.0901060743716
27,0,0.2700000000000001,0.73,-725.4898683741978
28,0,0.2800000000000001,0.72,-718.5667114233077
29,0,0.2900000000000001,0.71,-712.2839203804256
30,0,0.3000000000000001,0.7,-706.6089602786476
31,0,0.3100000000000001,0.69,-701.5129523371347
32,0,0.3200000000000001,0.6799999999999999,-696.9702351934296
33,0,0.3300000000000001,0.6699999999999999,-692.9579955199379
34,0,0.34000000000000014,0.6599999999999999,-689.4559557521048
35,0,0.35000000000000014,0.6499999999999999,-686.4461091642246
36,0,0.36000000000000015,0.6399999999999999,-683.9124944735905
37,0,0.37000000000000016,0.6299999999999999,-681.8410036741969
38,0,0.38000000000000017,0.6199999999999999,-680.2192179996252
39,0,0.3900000000000002,0.6099999999999999,-679.0362678668137
40,0,0.4000000000000002,0.5999999999999999,-678.2827134146626
41,0,0.4100000000000002,0.5899999999999999,-677.950442866555
42,0,0.4200000000000002,0.5799999999999998,-678.0325864463122
43,0,0.4300000000000002,0.5699999999999998,-678.5234439877693
44,0,0.4400000000000002,0.5599999999999998,-679.4184247183168
45,0,0.45000000000000023,0.5499999999999998,-680.7139979814889
46,0,0.46000000000000024,0.5399999999999998,-682.407653904866
47,0,0.47000000000000025,0.5299999999999998,-684.4978732267416
48,0,0.48000000000000026,0.5199999999999998,-686.9841056758346
49,0,0.49000000000000027,0.5099999999999998,-689.8667564592233
50,0,0.5000000000000002,0.4999999999999998,-693.1471805599454
51,0,0.5100000000000002,0.48999999999999977,-696.827684682007
52,0,0.5200000000000002,0.47999999999999976,-700.9115368110299
53,0,0.5300000000000002,0.46999999999999975,-705.4029834872606
