,model,numberPoints,Paplp0_lbound,Paplp0_ubound,Paplp1_lbound,Paplp1_ubound,Pcn0_lbound,Pcn0_ubound,Pcn1_lbound,Pcn1_ubound,Ptrue0_lbound,Ptrue0_ubound,Ptrue1_lbound,Ptrue1_ubound,Puq0_lbound,Puq0_ubound,Puq1_lbound,Puq1_ubound,cn_time,em_iter,em_time,inside,num_points,precise0,precise1,uq_time
0,poly4_52551.uai,20,0.0688,0.9688,0.031200000000000006,0.9312,0.8503020753539491,0.8503020753539491,0.14969792464605086,0.14969792464605086,0.06879999999999999,0.9688,0.0312,0.9312,0.8503020753539491,0.8503020753539491,0.14969792464605086,0.14969792464605086,3.213447,13.0,3243.0,1.0,1.0,0.8503020753539491,0.14969792464605086,2.798791
1,poly4_52551.uai,20,0.0688,0.9688,0.031200000000000006,0.9312,0.8503020753539491,0.8761762752642196,0.12382372473578043,0.14969792464605086,0.06879999999999999,0.9688,0.0312,0.9312,0.8503020753539491,0.8761762752642195,0.12382372473578038,0.14969792464605086,8.85552,17.0,2628.0,1.0,2.0,0.8761762752642195,0.12382372473578038,0.297552
2,poly4_52551.uai,20,0.0688,0.9688,0.031200000000000006,0.9312,0.13201522660336695,0.8761762752642196,0.12382372473578043,0.867984773396633,0.06879999999999999,0.9688,0.0312,0.9312,0.13201522660336695,0.8761762752642195,0.12382372473578038,0.867984773396633,12.933168,14.0,2150.0,1.0,3.0,0.13201522660336695,0.867984773396633,0.278398
3,poly4_52551.uai,20,0.0688,0.9688,0.031200000000000006,0.9312,0.13201522660336695,0.8761762752642196,0.12382372473578043,0.867984773396633,0.06879999999999999,0.9688,0.0312,0.9312,0.13201522660336695,0.8761762752642195,0.12382372473578038,0.867984773396633,14.552989,16.0,2439.0,1.0,4.0,0.17773032587040424,0.8222696741295958,0.34203
4,poly4_52551.uai,20,0.0688,0.9688,0.031200000000000006,0.9312,0.13201522660336695,0.8761762752642196,0.12382372473578043,0.867984773396633,0.06879999999999999,0.9688,0.0312,0.9312,0.13201522660336695,0.8761762752642195,0.12382372473578038,0.867984773396633,19.367085,13.0,1978.0,1.0,5.0,0.39194096046078486,0.6080590395392154,0.372002
5,poly4_52551.uai,20,0.0688,0.9688,0.031200000000000006,0.9312,0.10716597748163027,0.8761762752642196,0.12382372473578043,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.8761762752642195,0.12382372473578038,0.8928340225183697,26.278139,16.0,2451.0,1.0,6.0,0.10716597748163031,0.8928340225183697,0.338451
6,poly4_52551.uai,20,0.0688,0.9688,0.031200000000000006,0.9312,0.10716597748163027,0.8761762752642196,0.12382372473578043,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.8761762752642195,0.12382372473578038,0.8928340225183697,27.931424,2.0,317.0,1.0,7.0,0.5447972693450391,0.45520273065496075,0.469299
7,poly4_52551.uai,20,0.0688,0.9688,0.031200000000000006,0.9312,0.10716597748163027,0.8761762752642196,0.12382372473578043,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.8761762752642195,0.12382372473578038,0.8928340225183697,31.808509,8.0,1229.0,1.0,8.0,0.1674430955369483,0.8325569044630515,0.312273
8,poly4_52551.uai,20,0.0688,0.9688,0.031200000000000006,0.9312,0.10716597748163027,0.8761762752642196,0.12382372473578043,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.8761762752642195,0.12382372473578038,0.8928340225183697,51.627582,12.0,1830.0,1.0,9.0,0.22079540929115163,0.7792045907088483,0.292831
9,poly4_52551.uai,20,0.0688,0.9688,0.031200000000000006,0.9312,0.10716597748163027,0.9274094039665232,0.07259059603347681,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.9274094039665233,0.07259059603347676,0.8928340225183697,57.812968,18.0,2785.0,1.0,10.0,0.9274094039665233,0.07259059603347676,0.358186
10,poly4_52551.uai,20,0.0688,0.9688,0.031200000000000006,0.9312,0.10716597748163027,0.9274094039665232,0.07259059603347681,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.9274094039665233,0.07259059603347676,0.8928340225183697,61.202189,15.0,2323.0,1.0,11.0,0.16646333138433228,0.8335366686156674,0.414542
11,poly4_52551.uai,20,0.0688,0.9688,0.031200000000000006,0.9312,0.10716597748163027,0.9274094039665232,0.07259059603347681,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.9274094039665233,0.07259059603347676,0.8928340225183697,76.201322,15.0,2282.0,1.0,12.0,0.7998049543973405,0.20019504560265952,0.468099
12,poly4_52551.uai,20,0.0688,0.9688,0.031200000000000006,0.9312,0.10716597748163027,0.9274094039665232,0.07259059603347681,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.9274094039665233,0.07259059603347676,0.8928340225183697,78.206005,17.0,2590.0,1.0,13.0,0.6505644851831656,0.3494355148168345,0.357375
13,poly4_52551.uai,20,0.0688,0.9688,0.031200000000000006,0.9312,0.10716597748163027,0.9274094039665232,0.07259059603347681,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.9274094039665233,0.07259059603347676,0.8928340225183697,81.863072,15.0,2285.0,1.0,14.0,0.6432667043069141,0.3567332956930861,0.33789
14,poly4_52551.uai,20,0.0688,0.9688,0.031200000000000006,0.9312,0.10716597748163027,0.9274094039665232,0.07259059603347681,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.9274094039665233,0.07259059603347676,0.8928340225183697,86.53883,11.0,1681.0,1.0,15.0,0.44751829979541796,0.5524817002045816,0.28271199999999996
15,poly4_52551.uai,20,0.0688,0.9688,0.031200000000000006,0.9312,0.10716597748163027,0.9507550857972613,0.049244914202738695,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.9507550857972612,0.04924491420273867,0.8928340225183697,110.554803,18.0,2770.0,1.0,16.0,0.9507550857972612,0.04924491420273867,0.37898
16,poly4_52551.uai,20,0.0688,0.9688,0.031200000000000006,0.9312,0.07286560926615632,0.9507550857972613,0.049244914202738695,0.9271343907338437,0.06879999999999999,0.9688,0.0312,0.9312,0.07286560926615639,0.9507550857972612,0.04924491420273867,0.9271343907338435,95.756989,16.0,2458.0,1.0,17.0,0.07286560926615639,0.9271343907338435,0.404458
17,poly4_52551.uai,20,0.0688,0.9688,0.031200000000000006,0.9312,0.07286560926615632,0.9507550857972613,0.049244914202738695,0.9271343907338437,0.06879999999999999,0.9688,0.0312,0.9312,0.07286560926615639,0.9507550857972612,0.04924491420273867,0.9271343907338435,93.838205,14.0,2143.0,1.0,18.0,0.24870065440209393,0.751299345597906,0.26903699999999997
18,poly4_52551.uai,20,0.0688,0.9688,0.031200000000000006,0.9312,0.07286560926615632,0.9507550857972613,0.049244914202738695,0.9271343907338437,0.06879999999999999,0.9688,0.0312,0.9312,0.07286560926615639,0.9507550857972612,0.04924491420273867,0.9271343907338435,109.449695,17.0,2609.0,1.0,19.0,0.1273745489896919,0.8726254510103083,0.285122
19,poly4_52551.uai,20,0.0688,0.9688,0.031200000000000006,0.9312,0.07286560926615632,0.9507550857972613,0.049244914202738695,0.9271343907338437,0.06879999999999999,0.9688,0.0312,0.9312,0.07286560926615639,0.9507550857972612,0.04924491420273867,0.9271343907338435,102.178111,14.0,2127.0,1.0,20.0,0.653129967367741,0.3468700326322592,0.331971
20,poly4_52961.uai,20,0.508,0.97,0.030000000000000027,0.492,0.8683439313029994,0.8683439313029994,0.13165606869700064,0.13165606869700064,0.508,0.97,0.03,0.492,0.8683439313029994,0.8683439313029994,0.13165606869700064,0.13165606869700064,3.205728,12.0,2785.0,1.0,1.0,0.8683439313029994,0.13165606869700064,2.2162290000000002
21,poly4_52961.uai,20,0.508,0.97,0.030000000000000027,0.492,0.6296722346002697,0.8683439313029994,0.13165606869700064,0.3703277653997304,0.508,0.97,0.03,0.492,0.6296722346002717,0.8683439313029994,0.13165606869700064,0.3703277653997282,5.002077,13.0,2006.0,1.0,2.0,0.6296722346002717,0.3703277653997282,0.23205800000000001
22,poly4_52961.uai,20,0.508,0.97,0.030000000000000027,0.492,0.6296722346002697,0.8683439313029994,0.13165606869700064,0.3703277653997304,0.508,0.97,0.03,0.492,0.6296722346002717,0.8683439313029994,0.13165606869700064,0.3703277653997282,8.035832,7.0,1038.0,1.0,3.0,0.7790498470388698,0.2209501529611302,0.312338
23,poly4_52961.uai,20,0.508,0.97,0.030000000000000027,0.492,0.5990278198826064,0.8683439313029994,0.13165606869700064,0.4009721801173935,0.508,0.97,0.03,0.492,0.5990278198826033,0.8683439313029994,0.13165606869700064,0.4009721801173966,6.265377,9.0,1335.0,1.0,4.0,0.5990278198826033,0.4009721801173966,0.31550100000000003
24,poly4_52961.uai,20,0.508,0.97,0.030000000000000027,0.492,0.5962351005182039,0.8683439313029994,0.13165606869700064,0.40376489948179606,0.508,0.97,0.03,0.492,0.5962351005182046,0.8683439313029994,0.13165606869700064,0.4037648994817955,8.048768,11.0,1663.0,1.0,5.0,0.5962351005182046,0.4037648994817955,0.352209
25,poly4_52961.uai,20,0.508,0.97,0.030000000000000027,0.492,0.5962351005182039,0.902198380465578,0.09780161953442207,0.40376489948179606,0.508,0.97,0.03,0.492,0.5962351005182046,0.9021983804655775,0.0978016195344224,0.4037648994817955,10.249268,6.0,890.0,1.0,6.0,0.9021983804655775,0.0978016195344224,0.338998
26,poly4_52961.uai,20,0.508,0.97,0.030000000000000027,0.492,0.4979747172327465,0.902198380465578,0.09780161953442207,0.5020252827672534,0.508,0.97,0.03,0.492,0.49797471723274755,0.9021983804655775,0.0978016195344224,0.5020252827672522,10.535085,11.0,1629.0,0.0,7.0,0.49797471723274755,0.5020252827672522,0.428668
27,poly4_52961.uai,20,0.508,0.97,0.030000000000000027,0.492,0.4979747172327465,0.902198380465578,0.09780161953442207,0.5020252827672534,0.508,0.97,0.03,0.492,0.49797471723274755,0.9021983804655775,0.0978016195344224,0.5020252827672522,13.747998,9.0,1331.0,1.0,8.0,0.5210869644684234,0.4789130355315766,0.323955
28,poly4_52961.uai,20,0.508,0.97,0.030000000000000027,0.492,0.4979747172327465,0.902198380465578,0.09780161953442207,0.5020252827672534,0.508,0.97,0.03,0.492,0.49797471723274755,0.9021983804655775,0.0978016195344224,0.5020252827672522,14.485604,10.0,1481.0,1.0,9.0,0.6361618479759014,0.3638381520240986,0.25641400000000003
29,poly4_52961.uai,20,0.508,0.97,0.030000000000000027,0.492,0.4979747172327465,0.9580986371531752,0.041901362846824754,0.5020252827672534,0.508,0.97,0.03,0.492,0.49797471723274755,0.958098637153175,0.041901362846824955,0.5020252827672522,14.332561,9.0,1333.0,1.0,10.0,0.958098637153175,0.041901362846824955,0.32793300000000003
30,poly4_52961.uai,20,0.508,0.97,0.030000000000000027,0.492,0.4979747172327465,0.9580986371531752,0.041901362846824754,0.5020252827672534,0.508,0.97,0.03,0.492,0.49797471723274755,0.958098637153175,0.041901362846824955,0.5020252827672522,15.33248,8.0,1263.0,1.0,11.0,0.5157854762729973,0.4842145237270028,0.39328399999999997
31,poly4_52961.uai,20,0.508,0.97,0.030000000000000027,0.492,0.4979747172327465,0.9580986371531752,0.041901362846824754,0.5020252827672534,0.508,0.97,0.03,0.492,0.49797471723274755,0.958098637153175,0.041901362846824955,0.5020252827672522,18.107821,10.0,1496.0,1.0,12.0,0.93678373951357,0.06321626048643005,0.39342
