,model,numberPoints,Pcn0_lbound,Pcn0_ubound,Pcn1_lbound,Pcn1_ubound,Ptrue0_lbound,Ptrue0_ubound,Ptrue1_lbound,Ptrue1_ubound,Puq0_lbound,Puq0_ubound,Puq1_lbound,Puq1_ubound,em_iter,inside,num_points,precise0,precise1
0,tree6_49788.uai,20,0.5987356874276082,0.5987356874276082,0.40126431257239187,0.40126431257239187,0.318752,0.6190399999999999,0.38096,0.6812480000000001,0.5987356874276081,0.5987356874276081,0.4012643125723918,0.4012643125723918,11.0,1.0,1.0,0.5987356874276081,0.4012643125723918
1,tree6_49788.uai,20,0.3752336463468513,0.5989307655769928,0.40106923442300724,0.6247663536531487,0.318752,0.6190399999999999,0.38096,0.6812480000000001,0.3753020660289435,0.5987356874276081,0.4012643125723918,0.6246979339710563,17.0,1.0,2.0,0.3753020660289435,0.6246979339710563
2,tree6_49788.uai,20,0.3752336463468513,0.6007990097759824,0.39920099022401756,0.6247663536531487,0.318752,0.6190399999999999,0.38096,0.6812480000000001,0.3753020660289435,0.5987356874276081,0.4012643125723918,0.6246979339710563,20.0,1.0,3.0,0.5738115426379762,0.4261884573620235
3,tree6_49788.uai,20,0.3269771889800749,0.6007990097759824,0.39920099022401756,0.6730228110199251,0.318752,0.6190399999999999,0.38096,0.6812480000000001,0.3269833310237048,0.5987356874276081,0.4012643125723918,0.6730166689762954,23.0,1.0,4.0,0.3269833310237048,0.6730166689762954
4,tree6_49788.uai,20,0.3269771889800749,0.6009570787636911,0.39904292123630886,0.6730228110199251,0.318752,0.6190399999999999,0.38096,0.6812480000000001,0.3269833310237048,0.5987356874276081,0.4012643125723918,0.6730166689762954,19.0,1.0,5.0,0.3689849328145033,0.6310150671854968
5,tree6_49788.uai,20,0.32696384125689304,0.6009570787636911,0.39904292123630886,0.6730361587431066,0.318752,0.6190399999999999,0.38096,0.6812480000000001,0.3269833310237048,0.5987356874276081,0.4012643125723918,0.6730166689762954,11.0,1.0,6.0,0.43648677040911366,0.5635132295908866
6,tree6_49788.uai,20,0.32696384125689304,0.6009646811664233,0.39903531883357674,0.6730361587431066,0.318752,0.6190399999999999,0.38096,0.6812480000000001,0.3269833310237048,0.5987356874276081,0.4012643125723918,0.6730166689762954,8.0,1.0,7.0,0.3691339392584107,0.6308660607415892
7,tree6_49788.uai,20,0.32696384125689304,0.6009646811664233,0.39903531883357674,0.6730361587431066,0.318752,0.6190399999999999,0.38096,0.6812480000000001,0.3269833310237048,0.5987356874276081,0.4012643125723918,0.6730166689762954,18.0,1.0,8.0,0.36096629922633505,0.639033700773665
8,tree6_49788.uai,20,0.32696384125689304,0.6009770097357103,0.3990229902642897,0.6730361587431066,0.318752,0.6190399999999999,0.38096,0.6812480000000001,0.3269833310237048,0.5987356874276081,0.4012643125723918,0.6730166689762954,16.0,1.0,9.0,0.5742616041517797,0.42573839584822015
9,tree6_49788.uai,20,0.32696384125689304,0.6009770097357103,0.3990229902642897,0.6730361587431066,0.318752,0.6190399999999999,0.38096,0.6812480000000001,0.3269833310237048,0.5987356874276081,0.4012643125723918,0.6730166689762954,16.0,1.0,10.0,0.43081272287380196,0.5691872771261979
10,tree6_49788.uai,20,0.32696384125689304,0.6021503196776622,0.39784968032233775,0.6730361587431066,0.318752,0.6190399999999999,0.38096,0.6812480000000001,0.3269833310237048,0.5987356874276081,0.4012643125723918,0.6730166689762954,11.0,1.0,11.0,0.44449505833313685,0.555504941666863
11,tree6_49788.uai,20,0.32696384125689304,0.6023148250744466,0.3976851749255535,0.6730361587431066,0.318752,0.6190399999999999,0.38096,0.6812480000000001,0.3269833310237048,0.5987356874276081,0.4012643125723918,0.6730166689762954,7.0,1.0,12.0,0.4581567477710939,0.541843252228906
12,tree6_49788.uai,20,0.3269366151425423,0.6023148250744466,0.3976851749255535,0.6730633848574578,0.318752,0.6190399999999999,0.38096,0.6812480000000001,0.3269833310237048,0.5987356874276081,0.4012643125723918,0.6730166689762954,11.0,1.0,13.0,0.36007071201594365,0.6399292879840565
13,tree6_49788.uai,20,0.3269366151425423,0.6023148250744466,0.3976851749255535,0.6730633848574578,0.318752,0.6190399999999999,0.38096,0.6812480000000001,0.3269833310237048,0.5987356874276081,0.4012643125723918,0.6730166689762954,10.0,1.0,14.0,0.5109766056889351,0.489023394311065
14,tree6_49788.uai,20,0.3269366151425423,0.6023148250744466,0.3976851749255535,0.6730633848574578,0.318752,0.6190399999999999,0.38096,0.6812480000000001,0.3269833310237048,0.5987356874276081,0.4012643125723918,0.6730166689762954,9.0,1.0,15.0,0.3568736213116356,0.6431263786883643
