,model,numberPoints,Pcn0_lbound,Pcn0_ubound,Pcn1_lbound,Pcn1_ubound,Ptrue0_lbound,Ptrue0_ubound,Ptrue1_lbound,Ptrue1_ubound,Puq0_lbound,Puq0_ubound,Puq1_lbound,Puq1_ubound,cn_time,em_iter,em_time,inside,num_points,precise0,precise1,uq_time
0,tree4_48362.uai,20,0.8412680005502098,0.8412680005502098,0.15873199944979022,0.15873199944979022,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8412680005502098,0.8412680005502098,0.15873199944979022,0.15873199944979022,9.763149,180.0,22321.0,1.0,1.0,0.8412680005502098,0.15873199944979022,12.61249
1,tree4_48362.uai,20,0.8305825367828019,0.851432246815348,0.148567753184652,0.16941746321719808,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8407468097974032,0.8412680005502098,0.15873199944979022,0.1592531902025967,10.467184,100.0,10081.0,1.0,2.0,0.8407468097974032,0.1592531902025967,0.245807
2,tree4_48362.uai,20,0.8305825367828019,0.851432559995455,0.14856744000454508,0.16941746321719808,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8407468097974032,0.8412680005502098,0.15873199944979022,0.1592531902025967,13.868468,172.0,16714.0,1.0,3.0,0.8407528948314875,0.15924710516851256,0.262323
3,tree4_48362.uai,20,0.768727074418237,0.9102708253251358,0.08972917467486423,0.23127292558176302,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8377295437239212,0.8412680005502098,0.15873199944979022,0.1622704562760789,14.948631,143.0,13855.0,1.0,4.0,0.8377295437239212,0.1622704562760789,0.39405
4,tree4_48362.uai,20,0.768727074418237,0.9102708253251358,0.08972917467486423,0.23127292558176302,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8377295437239212,0.8412680005502098,0.15873199944979022,0.1622704562760789,7.569796,184.0,19515.0,1.0,5.0,0.8394616500188905,0.16053834998110939,0.299588
5,tree4_48362.uai,20,0.768727074418237,0.9102708253251358,0.08972917467486423,0.23127292558176302,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8377295437239212,0.8412680005502098,0.15873199944979022,0.1622704562760789,7.612554,191.0,18595.0,1.0,6.0,0.8392546805126595,0.16074531948734036,0.295667
6,tree4_48362.uai,20,0.748371947333864,0.9316696656275921,0.06833033437240793,0.25162805266613597,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8377295437239212,0.8423118915317569,0.15768810846824313,0.1622704562760789,7.11234,114.0,10549.0,1.0,7.0,0.8423118915317569,0.15768810846824313,0.381127
7,tree4_48362.uai,20,0.748371947333864,0.9316696656275921,0.06833033437240793,0.25162805266613597,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8377295437239212,0.8423118915317569,0.15768810846824313,0.1622704562760789,9.151399,182.0,18902.0,1.0,8.0,0.8390596268161927,0.16094037318380724,0.308651
8,tree4_48362.uai,20,0.7407590537128805,0.9389112161338038,0.06108878386619626,0.25924094628711974,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8373580659418991,0.8423118915317569,0.15768810846824313,0.16264193405810076,10.777424,182.0,18040.0,1.0,9.0,0.8373580659418991,0.16264193405810076,0.299381
9,tree4_48362.uai,20,0.7407590537128805,0.9389112161338038,0.06108878386619626,0.25924094628711974,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8373580659418991,0.8423118915317569,0.15768810846824313,0.16264193405810076,9.609815,200.0,21495.0,1.0,10.0,0.8373877943191916,0.16261220568080845,0.294751
