,model,numberPoints,Pcn0_lbound,Pcn0_ubound,Pcn1_lbound,Pcn1_ubound,Ptrue0_lbound,Ptrue0_ubound,Ptrue1_lbound,Ptrue1_ubound,Puq0_lbound,Puq0_ubound,Puq1_lbound,Puq1_ubound,num_points
0,tree4_48362.uai,20,0.84043768347022,0.84043768347022,0.15956231652978,0.15956231652978,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8404376834702197,0.8404376834702197,0.15956231652977998,0.15956231652977998,1.0
1,tree4_48362.uai,20,0.8296362561823603,0.8513823951237873,0.14861760487621262,0.17036374381763977,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8404376834702197,0.8406899689828564,0.1593100310171436,0.15956231652977998,2.0
2,tree4_48362.uai,20,0.8296362561823603,0.8513823951237873,0.14861760487621262,0.17036374381763977,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8400625244966858,0.8406899689828564,0.1593100310171436,0.15993747550331422,3.0
3,tree4_48362.uai,20,0.767109510162623,0.910220660453468,0.08977933954653203,0.232890489837377,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8372820892279398,0.8406899689828564,0.1593100310171436,0.1627179107720602,4.0
4,tree4_48362.uai,20,0.766867135253547,0.910220660453468,0.08977933954653203,0.23313286474645306,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8372820892279398,0.8406899689828564,0.1593100310171436,0.1627179107720602,5.0
5,tree4_48362.uai,20,0.7663241898571759,0.910220660453468,0.08977933954653203,0.23367581014282407,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8372820892279398,0.8406899689828564,0.1593100310171436,0.1627179107720602,6.0
6,tree4_48362.uai,20,0.7459690627728024,0.9316335313404533,0.06836646865954656,0.2540309372271976,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8372820892279398,0.8422516687860544,0.15774833121394555,0.1627179107720602,7.0
7,tree4_48362.uai,20,0.7459690627728024,0.9316335313404533,0.06836646865954656,0.2540309372271976,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8372820892279398,0.8422516687860544,0.15774833121394555,0.1627179107720602,8.0
8,tree4_48362.uai,20,0.7382334396017624,0.9388750818466652,0.06112491815333497,0.26176656039823765,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8355144385561951,0.8422516687860544,0.15774833121394555,0.16448556144380483,9.0
9,tree4_48362.uai,20,0.7369486926896481,0.9388750818466652,0.06112491815333497,0.2630513073103519,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8335918373652318,0.8422516687860544,0.15774833121394555,0.16640816263476815,10.0
10,tree4_48362.uai,20,0.7356715463477966,0.9400610853843856,0.05993891461561446,0.2643284536522034,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8335918373652318,0.8422516687860544,0.15774833121394555,0.16640816263476815,11.0
11,tree4_48362.uai,20,0.7356715463477966,0.9400764133124018,0.059923586687598174,0.2643284536522034,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8335918373652318,0.8422516687860544,0.15774833121394555,0.16640816263476815,12.0
12,tree4_48362.uai,20,0.7334821822463934,0.9423830400111233,0.057616959988876726,0.26651781775360656,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8335918373652318,0.8424084831865956,0.15759151681340441,0.16640816263476815,13.0
13,tree4_48362.uai,20,0.7334821822463934,0.9423830400111233,0.057616959988876726,0.26651781775360656,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8335918373652318,0.8424084831865956,0.15759151681340441,0.16640816263476815,14.0
14,tree4_48362.uai,20,0.7334821822463934,0.9423830400111233,0.057616959988876726,0.26651781775360656,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8335918373652318,0.8424084831865956,0.15759151681340441,0.16640816263476815,15.0
15,tree4_48362.uai,20,0.7334821822463934,0.9423830400111233,0.057616959988876726,0.26651781775360656,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8335918373652318,0.8424084831865956,0.15759151681340441,0.16640816263476815,16.0
16,tree4_48362.uai,20,0.7334821822463934,0.9423830400111233,0.057616959988876726,0.26651781775360656,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8335918373652318,0.8424084831865956,0.15759151681340441,0.16640816263476815,17.0
17,tree4_48362.uai,20,0.7334821822463934,0.9423830400111233,0.057616959988876726,0.26651781775360656,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8335918373652318,0.8424084831865956,0.15759151681340441,0.16640816263476815,18.0
18,tree4_48362.uai,20,0.7318413083885467,0.9423830400111233,0.057616959988876726,0.2681586916114533,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8335918373652318,0.8424084831865956,0.15759151681340441,0.16640816263476815,19.0
19,tree4_48362.uai,20,0.7318413083885467,0.9423830400111233,0.057616959988876726,0.2681586916114533,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8335918373652318,0.8424084831865956,0.15759151681340441,0.16640816263476815,20.0
20,tree4_54366.uai,20,0.02252042964728093,0.02252042964728093,0.9774795703527194,0.9774795703527194,0.020900000000000002,0.028600000000000004,0.9714,0.9791,0.02252042964728093,0.02252042964728093,0.9774795703527194,0.9774795703527194,1.0
21,tree4_54366.uai,20,0.02252042964728093,0.023258032446184265,0.976741967553816,0.9774795703527194,0.020900000000000002,0.028600000000000004,0.9714,0.9791,0.02252042964728093,0.02325803244618426,0.9767419675538158,0.9774795703527194,2.0
