,model,numberPoints,Pcn0_lbound,Pcn0_ubound,Pcn1_lbound,Pcn1_ubound,Ptrue0_lbound,Ptrue0_ubound,Ptrue1_lbound,Ptrue1_ubound,Puq0_lbound,Puq0_ubound,Puq1_lbound,Puq1_ubound,em_iter,inside,num_points,precise0,precise1
0,poly6_11613.uai,20,-1.0,-1.0,-1.0,-1.0,0.47795494999999993,0.5082863,0.4917137,0.52204505,-1.0,-1.0,-1.0,-1.0,100.0,1.0,1.0,0.504349127360779,0.49565087263922103
1,poly6_11613.uai,20,-1.0,-1.0,-1.0,-1.0,0.47795494999999993,0.5082863,0.4917137,0.52204505,-1.0,-1.0,-1.0,-1.0,100.0,1.0,2.0,0.5029575393086778,0.4970424606913223
2,poly6_11613.uai,20,-1.0,-1.0,-1.0,-1.0,0.47795494999999993,0.5082863,0.4917137,0.52204505,-1.0,-1.0,-1.0,-1.0,100.0,1.0,3.0,0.5045482361299499,0.49545176387004997
3,poly6_11613.uai,20,0.49142301358166834,0.5116230576040343,0.488376942395966,0.5085769864183319,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.49690380925641564,0.5045482361299499,0.49545176387004997,0.5030961907435846,28.0,1.0,4.0,0.49690380925641564,0.5030961907435846
4,poly6_11613.uai,20,0.49142301358166834,0.5116230576040343,0.488376942395966,0.5085769864183319,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.49690380925641564,0.5045482361299499,0.49545176387004997,0.5030961907435846,100.0,1.0,5.0,0.5031445092727868,0.49685549072721336
5,poly6_11613.uai,20,0.49142301358166834,0.5116230576040343,0.488376942395966,0.5085769864183319,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.49690380925641564,0.5045482361299499,0.49545176387004997,0.5030961907435846,69.0,1.0,6.0,0.4998408393820005,0.5001591606179994
6,poly6_11613.uai,20,0.47997172879217137,0.5193712541717607,0.4806287458282396,0.5200282712078289,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.4968574141355126,0.5045482361299499,0.49545176387004997,0.5031425858644875,93.0,1.0,7.0,0.4968574141355126,0.5031425858644875
7,poly6_11613.uai,20,0.4784625816648541,0.5197473623773076,0.48025263762269244,0.5215374183351459,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.4964701685187656,0.5045482361299499,0.49545176387004997,0.5035298314812344,46.0,1.0,8.0,0.4964701685187656,0.5035298314812344
8,poly6_11613.uai,20,0.4783674857355649,0.5203845059530133,0.4796154940469866,0.5216325142644354,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.4964701685187656,0.5045482361299499,0.49545176387004997,0.5035298314812344,100.0,1.0,9.0,0.5009802020541899,0.4990197979458101
9,poly6_11613.uai,20,0.4783674857355649,0.5203845059530133,0.4796154940469866,0.5216325142644354,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.4964701685187656,0.5045482361299499,0.49545176387004997,0.5035298314812344,100.0,1.0,10.0,0.504251199100507,0.49574880089949297
10,poly6_11613.uai,20,0.47800540593624696,0.5253337208617016,0.47466627913829834,0.521994594063753,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.4964701685187656,0.5054020763427314,0.4945979236572686,0.5035298314812344,100.0,1.0,11.0,0.5054020763427314,0.4945979236572686
11,poly6_11613.uai,20,0.47800540593624696,0.5255428208353462,0.4744571791646538,0.521994594063753,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.4964701685187656,0.5054020763427314,0.4945979236572686,0.5035298314812344,100.0,1.0,12.0,0.5017254083605711,0.4982745916394289
12,poly6_11613.uai,20,0.47774042687132684,0.5257287982714273,0.474271201728573,0.5222595731286732,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.4960885016988552,0.5054020763427314,0.4945979236572686,0.5039114983011448,31.0,1.0,13.0,0.4960885016988552,0.5039114983011448
13,poly6_11613.uai,20,0.47774042687132684,0.526804159981821,0.4731958400181791,0.5222595731286732,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.4960885016988552,0.5103046479457988,0.4896953520542011,0.5039114983011448,100.0,0.0,14.0,0.5103046479457988,0.4896953520542011
14,poly6_11613.uai,20,0.4777404268713266,0.5268041599818208,0.47319584001817916,0.5222595731286737,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.4960885016988552,0.5103046479457988,0.4896953520542011,0.5039114983011448,100.0,1.0,15.0,0.4981251568224583,0.5018748431775418
15,poly6_11613.uai,20,0.4777404268713266,0.5268041599818208,0.47319584001817916,0.5222595731286737,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.4960885016988552,0.5103046479457988,0.4896953520542011,0.5039114983011448,99.0,1.0,16.0,0.4998144326900027,0.5001855673099973
