,model,numberPoints,Pcn0_lbound,Pcn0_ubound,Pcn1_lbound,Pcn1_ubound,Ptrue0_lbound,Ptrue0_ubound,Ptrue1_lbound,Ptrue1_ubound,Puq0_lbound,Puq0_ubound,Puq1_lbound,Puq1_ubound,em_iter,inside,num_points
0,poly6_11613.uai,20,-1.0,-1.0,-1.0,-1.0,0.47795494999999993,0.5082863,0.4917137,0.52204505,-1.0,-1.0,-1.0,-1.0,100.0,1.0,1.0
1,poly6_11613.uai,20,-1.0,-1.0,-1.0,-1.0,0.47795494999999993,0.5082863,0.4917137,0.52204505,-1.0,-1.0,-1.0,-1.0,100.0,1.0,2.0
2,poly6_11613.uai,20,-1.0,-1.0,-1.0,-1.0,0.47795494999999993,0.5082863,0.4917137,0.52204505,-1.0,-1.0,-1.0,-1.0,100.0,1.0,3.0
3,poly6_11613.uai,20,0.49142301358166834,0.5116230576040343,0.488376942395966,0.5085769864183319,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.49690380925641564,0.5045482361299499,0.49545176387004997,0.5030961907435846,28.0,1.0,4.0
4,poly6_11613.uai,20,0.49142301358166834,0.5116230576040343,0.488376942395966,0.5085769864183319,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.49690380925641564,0.5045482361299499,0.49545176387004997,0.5030961907435846,100.0,1.0,5.0
5,poly6_11613.uai,20,0.49142301358166834,0.5116230576040343,0.488376942395966,0.5085769864183319,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.49690380925641564,0.5045482361299499,0.49545176387004997,0.5030961907435846,69.0,1.0,6.0
6,poly6_11613.uai,20,0.47997172879217137,0.5193712541717607,0.4806287458282396,0.5200282712078289,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.4968574141355126,0.5045482361299499,0.49545176387004997,0.5031425858644875,93.0,1.0,7.0
7,poly6_11613.uai,20,0.4784625816648541,0.5197473623773076,0.48025263762269244,0.5215374183351459,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.4964701685187656,0.5045482361299499,0.49545176387004997,0.5035298314812344,46.0,1.0,8.0
8,poly6_11613.uai,20,0.4783674857355649,0.5203845059530133,0.4796154940469866,0.5216325142644354,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.4964701685187656,0.5045482361299499,0.49545176387004997,0.5035298314812344,100.0,1.0,9.0
9,poly6_11613.uai,20,0.4783674857355649,0.5203845059530133,0.4796154940469866,0.5216325142644354,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.4964701685187656,0.5045482361299499,0.49545176387004997,0.5035298314812344,100.0,1.0,10.0
10,poly6_11613.uai,20,0.47800540593624696,0.5253337208617016,0.47466627913829834,0.521994594063753,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.4964701685187656,0.5054020763427314,0.4945979236572686,0.5035298314812344,100.0,1.0,11.0
11,poly6_11613.uai,20,0.47800540593624696,0.5255428208353462,0.4744571791646538,0.521994594063753,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.4964701685187656,0.5054020763427314,0.4945979236572686,0.5035298314812344,100.0,1.0,12.0
12,poly6_11613.uai,20,0.47774042687132684,0.5257287982714273,0.474271201728573,0.5222595731286732,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.4960885016988552,0.5054020763427314,0.4945979236572686,0.5039114983011448,31.0,1.0,13.0
13,poly6_11613.uai,20,0.47774042687132684,0.526804159981821,0.4731958400181791,0.5222595731286732,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.4960885016988552,0.5103046479457988,0.4896953520542011,0.5039114983011448,100.0,0.0,14.0
14,poly6_11613.uai,20,0.4777404268713266,0.5268041599818208,0.47319584001817916,0.5222595731286737,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.4960885016988552,0.5103046479457988,0.4896953520542011,0.5039114983011448,100.0,1.0,15.0
15,poly6_11613.uai,20,0.4777404268713266,0.5268041599818208,0.47319584001817916,0.5222595731286737,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.4960885016988552,0.5103046479457988,0.4896953520542011,0.5039114983011448,99.0,1.0,16.0
16,poly6_11613.uai,20,0.4777404268713266,0.5268041599818208,0.47319584001817916,0.5222595731286737,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.4960885016988552,0.5103046479457988,0.4896953520542011,0.5039114983011448,100.0,1.0,17.0
17,poly6_11613.uai,20,0.4777404268713269,0.526804159981821,0.4731958400181791,0.5222595731286731,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.4960885016988552,0.5103046479457988,0.4896953520542011,0.5039114983011448,100.0,1.0,18.0
18,poly6_11613.uai,20,0.4777404268713269,0.526804159981821,0.4731958400181791,0.5222595731286731,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.4960885016988552,0.5103046479457988,0.4896953520542011,0.5039114983011448,100.0,1.0,19.0
19,poly6_11613.uai,20,0.4777404268713269,0.526804159981821,0.4731958400181791,0.5222595731286731,0.47795494999999993,0.5082863,0.4917137,0.52204505,0.4960885016988552,0.5103046479457988,0.4896953520542011,0.5039114983011448,100.0,1.0,20.0
20,poly6_39497.uai,20,0.043766938481155634,0.043766938481155634,0.9562330615188444,0.9562330615188444,0.03713376,0.044678079999999995,0.95532192,0.96286624,0.043766938481155634,0.043766938481155634,0.9562330615188444,0.9562330615188444,84.0,1.0,1.0
21,poly6_39497.uai,20,0.040884539440484674,0.047222148728844206,0.952777851271156,0.9591154605595154,0.03713376,0.044678079999999995,0.95532192,0.96286624,0.043766938481155634,0.04400232495036541,0.9559976750496346,0.9562330615188444,39.0,1.0,2.0
