,model,numberPoints,Pcn0_lbound,Pcn0_ubound,Pcn1_lbound,Pcn1_ubound,Ptrue0_lbound,Ptrue0_ubound,Ptrue1_lbound,Ptrue1_ubound,Puq0_lbound,Puq0_ubound,Puq1_lbound,Puq1_ubound,cn_time,em_iter,em_time,inside,num_points,precise0,precise1,uq_time
0,poly4_52551.uai,20,0.8503000939413661,0.8503000939413661,0.14969990605863392,0.14969990605863392,0.06879999999999999,0.9688,0.0312,0.9312,0.850300093941366,0.850300093941366,0.1496999060586339,0.1496999060586339,4.483096,25.0,5437.0,1.0,1.0,0.850300093941366,0.1496999060586339,3.319431
1,poly4_52551.uai,20,0.8503000939413661,0.876174940831774,0.12382505916822593,0.14969990605863392,0.06879999999999999,0.9688,0.0312,0.9312,0.850300093941366,0.8761749408317739,0.12382505916822589,0.1496999060586339,12.874953,29.0,4256.0,1.0,2.0,0.8761749408317739,0.12382505916822589,0.325646
2,poly4_52551.uai,20,0.13199967852923128,0.876174940831774,0.12382505916822593,0.8680003214707688,0.06879999999999999,0.9688,0.0312,0.9312,0.13199967852923125,0.8761749408317739,0.12382505916822589,0.8680003214707686,17.980351,25.0,3667.0,1.0,3.0,0.13199967852923125,0.8680003214707686,0.262465
3,poly4_52551.uai,20,0.13199967852923128,0.876174940831774,0.12382505916822593,0.8680003214707688,0.06879999999999999,0.9688,0.0312,0.9312,0.13199967852923125,0.8761749408317739,0.12382505916822589,0.8680003214707686,20.450196,28.0,4113.0,1.0,4.0,0.1777139498276087,0.8222860501723912,0.307595
4,poly4_52551.uai,20,0.13199967852923128,0.876174940831774,0.12382505916822593,0.8680003214707688,0.06879999999999999,0.9688,0.0312,0.9312,0.13199967852923125,0.8761749408317739,0.12382505916822589,0.8680003214707686,19.294602,25.0,3662.0,1.0,5.0,0.39192848336228053,0.6080715166377194,0.583172
5,poly4_52551.uai,20,0.10714789746080577,0.876174940831774,0.12382505916822593,0.8928521025391944,0.06879999999999999,0.9688,0.0312,0.9312,0.1071478974608058,0.8761749408317739,0.12382505916822589,0.8928521025391943,19.851337,28.0,4142.0,1.0,6.0,0.1071478974608058,0.8928521025391943,0.3745
6,poly4_52551.uai,20,0.10714789746080577,0.876174940831774,0.12382505916822593,0.8928521025391944,0.06879999999999999,0.9688,0.0312,0.9312,0.1071478974608058,0.8761749408317739,0.12382505916822589,0.8928521025391943,25.314628,10.0,1468.0,1.0,7.0,0.5446588568792918,0.4553411431207081,0.372232
7,poly4_52551.uai,20,0.10714789746080577,0.876174940831774,0.12382505916822593,0.8928521025391944,0.06879999999999999,0.9688,0.0312,0.9312,0.1071478974608058,0.8761749408317739,0.12382505916822589,0.8928521025391943,31.863524,19.0,2785.0,1.0,8.0,0.16742830240084,0.8325716975991597,0.357557
8,poly4_52551.uai,20,0.10714789746080577,0.876174940831774,0.12382505916822593,0.8928521025391944,0.06879999999999999,0.9688,0.0312,0.9312,0.1071478974608058,0.8761749408317739,0.12382505916822589,0.8928521025391943,39.85334,23.0,3353.0,1.0,9.0,0.2207817940689013,0.7792182059310986,0.354573
9,poly4_52551.uai,20,0.10714789746080577,0.9274091373126483,0.07259086268735165,0.8928521025391944,0.06879999999999999,0.9688,0.0312,0.9312,0.1071478974608058,0.9274091373126482,0.0725908626873516,0.8928521025391943,50.310015,29.0,4226.0,1.0,10.0,0.9274091373126482,0.0725908626873516,0.3271
10,poly4_52551.uai,20,0.10714789746080577,0.9274091373126483,0.07259086268735165,0.8928521025391944,0.06879999999999999,0.9688,0.0312,0.9312,0.1071478974608058,0.9274091373126482,0.0725908626873516,0.8928521025391943,50.328574,27.0,3947.0,1.0,11.0,0.16644739191840197,0.8335526080815979,0.320181
11,poly4_52551.uai,20,0.10714789746080577,0.9274091373126483,0.07259086268735165,0.8928521025391944,0.06879999999999999,0.9688,0.0312,0.9312,0.1071478974608058,0.9274091373126482,0.0725908626873516,0.8928521025391943,62.229677,26.0,3790.0,1.0,12.0,0.7998021834052542,0.20019781659474584,0.516131
12,poly4_52551.uai,20,0.10714789746080577,0.9274091373126483,0.07259086268735165,0.8928521025391944,0.06879999999999999,0.9688,0.0312,0.9312,0.1071478974608058,0.9274091373126482,0.0725908626873516,0.8928521025391943,77.579273,29.0,4256.0,1.0,13.0,0.6505580331917044,0.34944196680829576,0.344466
13,poly4_52551.uai,20,0.10714789746080577,0.9274091373126483,0.07259086268735165,0.8928521025391944,0.06879999999999999,0.9688,0.0312,0.9312,0.1071478974608058,0.9274091373126482,0.0725908626873516,0.8928521025391943,77.051829,27.0,3953.0,1.0,14.0,0.6432600137222646,0.3567399862777354,0.392923
14,poly4_52551.uai,20,0.10714789746080577,0.9274091373126483,0.07259086268735165,0.8928521025391944,0.06879999999999999,0.9688,0.0312,0.9312,0.1071478974608058,0.9274091373126482,0.0725908626873516,0.8928521025391943,79.673995,22.0,3207.0,1.0,15.0,0.4475088547574024,0.5524911452425978,0.33872599999999997
15,poly4_52551.uai,20,0.10714789746080577,0.9507552499840741,0.04924475001592591,0.8928521025391944,0.06879999999999999,0.9688,0.0312,0.9312,0.1071478974608058,0.9507552499840742,0.04924475001592588,0.8928521025391943,73.127204,29.0,4270.0,1.0,16.0,0.9507552499840742,0.04924475001592588,0.34258
16,poly4_52551.uai,20,0.07284590303399072,0.9507552499840741,0.04924475001592591,0.9271540969660095,0.06879999999999999,0.9688,0.0312,0.9312,0.07284590303399079,0.9507552499840742,0.04924475001592588,0.927154096966009,88.142877,28.0,4083.0,1.0,17.0,0.07284590303399079,0.927154096966009,0.355437
