,model,numberPoints,Pcn0_lbound,Pcn0_ubound,Pcn1_lbound,Pcn1_ubound,Ptrue0_lbound,Ptrue0_ubound,Ptrue1_lbound,Ptrue1_ubound,Puq0_lbound,Puq0_ubound,Puq1_lbound,Puq1_ubound,em_iter,inside,num_points,precise0,precise1
0,poly4_52551.uai,20,0.8503020753539491,0.8503020753539491,0.14969792464605086,0.14969792464605086,0.06879999999999999,0.9688,0.0312,0.9312,0.8503020753539491,0.8503020753539491,0.14969792464605086,0.14969792464605086,13.0,1.0,1.0,0.8503020753539491,0.14969792464605086
1,poly4_52551.uai,20,0.8503020753539491,0.8761762752642196,0.12382372473578043,0.14969792464605086,0.06879999999999999,0.9688,0.0312,0.9312,0.8503020753539491,0.8761762752642195,0.12382372473578038,0.14969792464605086,17.0,1.0,2.0,0.8761762752642195,0.12382372473578038
2,poly4_52551.uai,20,0.13201522660336695,0.8761762752642196,0.12382372473578043,0.867984773396633,0.06879999999999999,0.9688,0.0312,0.9312,0.13201522660336695,0.8761762752642195,0.12382372473578038,0.867984773396633,14.0,1.0,3.0,0.13201522660336695,0.867984773396633
3,poly4_52551.uai,20,0.13201522660336695,0.8761762752642196,0.12382372473578043,0.867984773396633,0.06879999999999999,0.9688,0.0312,0.9312,0.13201522660336695,0.8761762752642195,0.12382372473578038,0.867984773396633,16.0,1.0,4.0,0.17773032587040424,0.8222696741295958
4,poly4_52551.uai,20,0.13201522660336695,0.8761762752642196,0.12382372473578043,0.867984773396633,0.06879999999999999,0.9688,0.0312,0.9312,0.13201522660336695,0.8761762752642195,0.12382372473578038,0.867984773396633,13.0,1.0,5.0,0.39194096046078486,0.6080590395392154
5,poly4_52551.uai,20,0.10716597748163027,0.8761762752642196,0.12382372473578043,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.8761762752642195,0.12382372473578038,0.8928340225183697,16.0,1.0,6.0,0.10716597748163031,0.8928340225183697
6,poly4_52551.uai,20,0.10716597748163027,0.8761762752642196,0.12382372473578043,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.8761762752642195,0.12382372473578038,0.8928340225183697,2.0,1.0,7.0,0.5447972693450391,0.45520273065496075
7,poly4_52551.uai,20,0.10716597748163027,0.8761762752642196,0.12382372473578043,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.8761762752642195,0.12382372473578038,0.8928340225183697,8.0,1.0,8.0,0.1674430955369483,0.8325569044630515
8,poly4_52551.uai,20,0.10716597748163027,0.8761762752642196,0.12382372473578043,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.8761762752642195,0.12382372473578038,0.8928340225183697,12.0,1.0,9.0,0.22079540929115163,0.7792045907088483
9,poly4_52551.uai,20,0.10716597748163027,0.9274094039665232,0.07259059603347681,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.9274094039665233,0.07259059603347676,0.8928340225183697,18.0,1.0,10.0,0.9274094039665233,0.07259059603347676
10,poly4_52551.uai,20,0.10716597748163027,0.9274094039665232,0.07259059603347681,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.9274094039665233,0.07259059603347676,0.8928340225183697,15.0,1.0,11.0,0.16646333138433228,0.8335366686156674
11,poly4_52551.uai,20,0.10716597748163027,0.9274094039665232,0.07259059603347681,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.9274094039665233,0.07259059603347676,0.8928340225183697,15.0,1.0,12.0,0.7998049543973405,0.20019504560265952
12,poly4_52551.uai,20,0.10716597748163027,0.9274094039665232,0.07259059603347681,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.9274094039665233,0.07259059603347676,0.8928340225183697,17.0,1.0,13.0,0.6505644851831656,0.3494355148168345
13,poly4_52551.uai,20,0.10716597748163027,0.9274094039665232,0.07259059603347681,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.9274094039665233,0.07259059603347676,0.8928340225183697,15.0,1.0,14.0,0.6432667043069141,0.3567332956930861
14,poly4_52551.uai,20,0.10716597748163027,0.9274094039665232,0.07259059603347681,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.9274094039665233,0.07259059603347676,0.8928340225183697,11.0,1.0,15.0,0.44751829979541796,0.5524817002045816
