,model,numberPoints,Paplp0_lbound,Paplp0_ubound,Paplp1_lbound,Paplp1_ubound,Pcn0_lbound,Pcn0_ubound,Pcn1_lbound,Pcn1_ubound,Ptrue0_lbound,Ptrue0_ubound,Ptrue1_lbound,Ptrue1_ubound,Puq0_lbound,Puq0_ubound,Puq1_lbound,Puq1_ubound,cn_time,em_iter,em_time,inside,num_points,precise0,precise1,uq_time
0,tree10_47451.uai,20,0.360161544,0.360169376,0.639830624,0.639838456,-1.0,-1.0,-1.0,-1.0,0.36016154400000006,0.36016937600000004,0.639830624,0.639838456,-1.0,-1.0,-1.0,-1.0,0.0,100.0,60576.0,0.0,1.0,0.3385445500449548,0.6614554499550452,1.490593
1,tree10_47451.uai,20,0.360161544,0.360169376,0.639830624,0.639838456,-1.0,-1.0,-1.0,-1.0,0.36016154400000006,0.36016937600000004,0.639830624,0.639838456,-1.0,-1.0,-1.0,-1.0,0.0,100.0,58592.0,0.0,2.0,0.3385323627286354,0.6614676372713643,0.530321
2,tree10_47451.uai,20,0.360161544,0.360169376,0.639830624,0.639838456,-1.0,-1.0,-1.0,-1.0,0.36016154400000006,0.36016937600000004,0.639830624,0.639838456,-1.0,-1.0,-1.0,-1.0,0.0,100.0,58440.0,0.0,3.0,0.33852661959797237,0.6614733804020276,0.514311
3,tree10_47451.uai,20,0.360161544,0.360169376,0.639830624,0.639838456,-1.0,-1.0,-1.0,-1.0,0.36016154400000006,0.36016937600000004,0.639830624,0.639838456,-1.0,-1.0,-1.0,-1.0,0.0,100.0,58748.0,0.0,4.0,0.3385425282834639,0.661457471716536,0.471775
4,tree10_47451.uai,20,0.360161544,0.360169376,0.639830624,0.639838456,0.3385196168053129,0.33854573223077833,0.6614542677692217,0.6614803831946874,0.36016154400000006,0.36016937600000004,0.639830624,0.639838456,0.33852661959797237,0.3385445500449548,0.6614554499550452,0.6614733804020276,115.634527,72.0,42322.0,0.0,5.0,0.33853957364310366,0.6614604263568964,2.231212
5,tree10_47451.uai,20,0.360161544,0.360169376,0.639830624,0.639838456,0.3385196168053129,0.33854574058222986,0.6614542594177701,0.6614803831946874,0.36016154400000006,0.36016937600000004,0.639830624,0.639838456,0.33852661959797237,0.3385445500449548,0.6614554499550452,0.6614733804020276,106.111248,90.0,52889.0,0.0,6.0,0.3385376773439101,0.6614623226560901,0.731146
6,tree10_47451.uai,20,0.360161544,0.360169376,0.639830624,0.639838456,0.3385196168053129,0.33854574058222986,0.6614542594177701,0.6614803831946874,0.36016154400000006,0.36016937600000004,0.639830624,0.639838456,0.33852661959797237,0.3385445500449548,0.6614554499550452,0.6614733804020276,107.673458,100.0,59012.0,0.0,7.0,0.3385369683074825,0.6614630316925173,0.594706
7,tree10_47451.uai,20,0.360161544,0.360169376,0.639830624,0.639838456,0.33851562634122373,0.33854574058222986,0.6614542594177701,0.6614843736587765,0.36016154400000006,0.36016937600000004,0.639830624,0.639838456,0.33852120298635513,0.3385445500449548,0.6614554499550452,0.6614787970136449,105.489555,75.0,44068.0,0.0,8.0,0.33852120298635513,0.6614787970136449,0.6141650000000001
8,tree10_47451.uai,20,0.360161544,0.360169376,0.639830624,0.639838456,0.3385137685109419,0.33854574058222986,0.6614542594177701,0.6614862314890584,0.36016154400000006,0.36016937600000004,0.639830624,0.639838456,0.33851821285795325,0.3385445500449548,0.6614554499550452,0.6614817871420468,92.491776,81.0,47602.0,0.0,9.0,0.33851821285795325,0.6614817871420468,0.685716
9,tree10_47451.uai,20,0.360161544,0.360169376,0.639830624,0.639838456,0.3385137685109419,0.3385457832883212,0.661454216711679,0.6614862314890584,0.36016154400000006,0.36016937600000004,0.639830624,0.639838456,0.33851821285795325,0.3385445500449548,0.6614554499550452,0.6614817871420468,121.634594,100.0,58780.0,0.0,10.0,0.3385337822546571,0.6614662177453429,0.67628
