,model,numberPoints,Paplp0_lbound,Paplp0_ubound,Paplp1_lbound,Paplp1_ubound,Pcn0_lbound,Pcn0_ubound,Pcn1_lbound,Pcn1_ubound,Ptrue0_lbound,Ptrue0_ubound,Ptrue1_lbound,Ptrue1_ubound,Puq0_lbound,Puq0_ubound,Puq1_lbound,Puq1_ubound,cn_time,em_iter,em_time,inside,num_points,precise0,precise1,uq_time
0,poly6_11613.uai,20,0.490325,0.49591624999999995,0.50408375,0.509675,-1.0,-1.0,-1.0,-1.0,0.47795494999999993,0.5082863,0.4917137,0.52204505,-1.0,-1.0,-1.0,-1.0,0.0,100.0,40492.0,1.0,1.0,0.5041511207918167,0.4958488792081832,1.768428
1,poly6_11613.uai,20,0.490325,0.49591624999999995,0.50408375,0.509675,-1.0,-1.0,-1.0,-1.0,0.47795494999999993,0.5082863,0.4917137,0.52204505,-1.0,-1.0,-1.0,-1.0,0.0,100.0,38286.0,1.0,2.0,0.5029348659485378,0.4970651340514622,0.215833
2,poly6_11613.uai,20,0.490325,0.49591624999999995,0.50408375,0.509675,-1.0,-1.0,-1.0,-1.0,0.47795494999999993,0.5082863,0.4917137,0.52204505,-1.0,-1.0,-1.0,-1.0,0.0,100.0,38190.0,1.0,3.0,0.5045268936731859,0.4954731063268138,0.202611
3,poly6_11613.uai,20,0.490325,0.49591624999999995,0.50408375,0.509675,-1.0,-1.0,-1.0,-1.0,0.47795494999999993,0.5082863,0.4917137,0.52204505,-1.0,-1.0,-1.0,-1.0,0.0,100.0,38098.0,1.0,4.0,0.49688001624219186,0.5031199837578082,0.322786
4,poly6_11613.uai,20,0.490325,0.49591624999999995,0.50408375,0.509675,-1.0,-1.0,-1.0,-1.0,0.47795494999999993,0.5082863,0.4917137,0.52204505,-1.0,-1.0,-1.0,-1.0,0.0,100.0,38932.0,1.0,5.0,0.5031206732145935,0.49687932678540625,0.20451
5,poly6_11613.uai,20,0.490325,0.49591624999999995,0.50408375,0.509675,-1.0,-1.0,-1.0,-1.0,0.47795494999999993,0.5082863,0.4917137,0.52204505,-1.0,-1.0,-1.0,-1.0,0.0,100.0,38423.0,1.0,6.0,0.49923960994490235,0.5007603900550975,0.216462
6,poly6_11613.uai,20,0.490325,0.49591624999999995,0.50408375,0.509675,-1.0,-1.0,-1.0,-1.0,0.47795494999999993,0.5082863,0.4917137,0.52204505,-1.0,-1.0,-1.0,-1.0,0.0,100.0,38244.0,1.0,7.0,0.4964891838084807,0.5035108161915192,0.228502
7,poly6_11613.uai,20,0.490325,0.49591624999999995,0.50408375,0.509675,-1.0,-1.0,-1.0,-1.0,0.47795494999999993,0.5082863,0.4917137,0.52204505,-1.0,-1.0,-1.0,-1.0,0.0,100.0,38178.0,1.0,8.0,0.49670231733521053,0.5032976826647895,0.219904
8,poly6_11613.uai,20,0.490325,0.49591624999999995,0.50408375,0.509675,-1.0,-1.0,-1.0,-1.0,0.47795494999999993,0.5082863,0.4917137,0.52204505,-1.0,-1.0,-1.0,-1.0,0.0,100.0,38343.0,1.0,9.0,0.5009768991656839,0.499023100834316,0.223553
9,poly6_11613.uai,20,0.490325,0.49591624999999995,0.50408375,0.509675,-1.0,-1.0,-1.0,-1.0,0.47795494999999993,0.5082863,0.4917137,0.52204505,-1.0,-1.0,-1.0,-1.0,0.0,100.0,38142.0,1.0,10.0,0.5042718730722295,0.4957281269277701,0.208089
10,poly6_11613.uai,20,0.490325,0.49591624999999995,0.50408375,0.509675,-1.0,-1.0,-1.0,-1.0,0.47795494999999993,0.5082863,0.4917137,0.52204505,-1.0,-1.0,-1.0,-1.0,0.0,100.0,38199.0,1.0,11.0,0.5054025599653492,0.49459744003465095,0.194952
11,poly6_11613.uai,20,0.490325,0.49591624999999995,0.50408375,0.509675,-1.0,-1.0,-1.0,-1.0,0.47795494999999993,0.5082863,0.4917137,0.52204505,-1.0,-1.0,-1.0,-1.0,0.0,100.0,38225.0,1.0,12.0,0.5017265994759801,0.4982734005240198,0.205234
12,poly6_11613.uai,20,0.490325,0.49591624999999995,0.50408375,0.509675,-1.0,-1.0,-1.0,-1.0,0.47795494999999993,0.5082863,0.4917137,0.52204505,-1.0,-1.0,-1.0,-1.0,0.0,100.0,38158.0,1.0,13.0,0.49470378215323957,0.5052962178467605,0.218541
13,poly6_11613.uai,20,0.490325,0.49591624999999995,0.50408375,0.509675,-1.0,-1.0,-1.0,-1.0,0.47795494999999993,0.5082863,0.4917137,0.52204505,-1.0,-1.0,-1.0,-1.0,0.0,100.0,38168.0,0.0,14.0,0.5103246356368484,0.4896753643631512,0.229448
14,poly6_11613.uai,20,0.490325,0.49591624999999995,0.50408375,0.509675,-1.0,-1.0,-1.0,-1.0,0.47795494999999993,0.5082863,0.4917137,0.52204505,-1.0,-1.0,-1.0,-1.0,0.0,100.0,38157.0,1.0,15.0,0.4981171028620842,0.5018828971379158,0.198662
15,poly6_11613.uai,20,0.490325,0.49591624999999995,0.50408375,0.509675,-1.0,-1.0,-1.0,-1.0,0.47795494999999993,0.5082863,0.4917137,0.52204505,-1.0,-1.0,-1.0,-1.0,0.0,100.0,38287.0,1.0,16.0,0.4997411067502161,0.500258893249784,0.238093
16,poly6_11613.uai,20,0.490325,0.49591624999999995,0.50408375,0.509675,-1.0,-1.0,-1.0,-1.0,0.47795494999999993,0.5082863,0.4917137,0.52204505,-1.0,-1.0,-1.0,-1.0,0.0,100.0,38223.0,1.0,17.0,0.5008329397109789,0.49916706028902125,0.242921
17,poly6_11613.uai,20,0.490325,0.49591624999999995,0.50408375,0.509675,-1.0,-1.0,-1.0,-1.0,0.47795494999999993,0.5082863,0.4917137,0.52204505,-1.0,-1.0,-1.0,-1.0,0.0,100.0,38437.0,1.0,18.0,0.4969119360323659,0.5030880639676344,0.221697
18,poly6_11613.uai,20,0.490325,0.49591624999999995,0.50408375,0.509675,-1.0,-1.0,-1.0,-1.0,0.47795494999999993,0.5082863,0.4917137,0.52204505,-1.0,-1.0,-1.0,-1.0,0.0,100.0,38211.0,1.0,19.0,0.5013574759987188,0.49864252400128106,0.195625
19,poly6_11613.uai,20,0.490325,0.49591624999999995,0.50408375,0.509675,-1.0,-1.0,-1.0,-1.0,0.47795494999999993,0.5082863,0.4917137,0.52204505,-1.0,-1.0,-1.0,-1.0,0.0,100.0,38123.0,1.0,20.0,0.5027733707322282,0.49722662926777184,0.198726
20,poly6_39497.uai,20,0.037958080000000005,0.043853759999999964,0.95614624,0.96204192,-1.0,-1.0,-1.0,-1.0,0.03713376,0.044678079999999995,0.95532192,0.96286624,-1.0,-1.0,-1.0,-1.0,0.0,100.0,38748.0,0.0,1.0,0.044812428639976656,0.9551875713600232,1.151879
21,poly6_39497.uai,20,0.037958080000000005,0.043853759999999964,0.95614624,0.96204192,0.0427559274296939,0.04610808657237407,0.9538919134276259,0.9572440725703061,0.03713376,0.044678079999999995,0.95532192,0.96286624,0.04403169536565988,0.044812428639976656,0.9551875713600232,0.9559683046343399,42.743801,86.0,32427.0,1.0,2.0,0.04403169536565988,0.9559683046343399,1.657677
22,poly6_39497.uai,20,0.037958080000000005,0.043853759999999964,0.95614624,0.96204192,0.03930579860940875,0.04695744001860159,0.9530425599813986,0.9606942013905913,0.03713376,0.044678079999999995,0.95532192,0.96286624,0.04037712109347696,0.044812428639976656,0.9551875713600232,0.959622878906523,50.99125,100.0,37754.0,1.0,3.0,0.04037712109347696,0.959622878906523,0.277795
23,poly6_39497.uai,20,0.037958080000000005,0.043853759999999964,0.95614624,0.96204192,0.03891321424360007,0.046991555983686,0.953008444016314,0.9610867857563999,0.03713376,0.044678079999999995,0.95532192,0.96286624,0.04037712109347696,0.044812428639976656,0.9551875713600232,0.959622878906523,65.193023,100.0,37692.0,1.0,4.0,0.041928482919922155,0.9580715170800778,0.399453
24,poly6_39497.uai,20,0.037958080000000005,0.043853759999999964,0.95614624,0.96204192,0.03787475149920025,0.047129252055916726,0.9528707479440833,0.9621252485008001,0.03713376,0.044678079999999995,0.95532192,0.96286624,0.04037712109347696,0.044812428639976656,0.9551875713600232,0.959622878906523,91.682031,100.0,37850.0,1.0,5.0,0.0416442821615758,0.9583557178384243,0.313777
25,poly6_39497.uai,20,0.037958080000000005,0.043853759999999964,0.95614624,0.96204192,0.03787468464446674,0.04712981269590866,0.9528701873040913,0.9621253153555331,0.03713376,0.044678079999999995,0.95532192,0.96286624,0.04037712109347696,0.044812428639976656,0.9551875713600232,0.959622878906523,110.184491,100.0,37717.0,1.0,6.0,0.04371363164598622,0.9562863683540136,0.49507
26,poly6_39497.uai,20,0.037958080000000005,0.043853759999999964,0.95614624,0.96204192,0.037626939374774,0.049598178549284506,0.9504018214507155,0.9623730606252263,0.03713376,0.044678079999999995,0.95532192,0.96286624,0.04037712109347696,0.04636792174783646,0.9536320782521635,0.959622878906523,107.04483,100.0,37789.0,0.0,7.0,0.04636792174783646,0.9536320782521635,0.336029
27,poly6_39497.uai,20,0.037958080000000005,0.043853759999999964,0.95614624,0.96204192,0.037626939374774,0.049598178549284506,0.9504018214507155,0.9623730606252263,0.03713376,0.044678079999999995,0.95532192,0.96286624,0.04037712109347696,0.04636792174783646,0.9536320782521635,0.959622878906523,136.727772,100.0,37628.0,1.0,8.0,0.04347175207322176,0.9565282479267785,0.47229
