,model,numberPoints,Pcn0_lbound,Pcn0_ubound,Pcn1_lbound,Pcn1_ubound,Ptrue0_lbound,Ptrue0_ubound,Ptrue1_lbound,Ptrue1_ubound,Puq0_lbound,Puq0_ubound,Puq1_lbound,Puq1_ubound,em_iter,inside,num_points
0,tree4_48362.uai,20,0.8410931109696576,0.8410931109696576,0.15890688903034247,0.15890688903034247,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8410931109696576,0.8410931109696576,0.15890688903034247,0.15890688903034247,96.0,1.0,1.0
1,tree4_48362.uai,20,0.8303832218207419,0.8512576699924055,0.14874233000759446,0.1696167781792581,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8405478245237589,0.8410931109696576,0.15890688903034247,0.15945217547624094,16.0,1.0,2.0
2,tree4_48362.uai,20,0.8303812480803386,0.8512576699924055,0.14874233000759446,0.16961875191966136,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8405478245237589,0.8410931109696576,0.15890688903034247,0.15945217547624094,87.0,1.0,3.0
3,tree4_48362.uai,20,0.7683829931700195,0.9100959353220867,0.0899040646779133,0.2316170068299805,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8373883150697671,0.8410931109696576,0.15890688903034247,0.1626116849302329,59.0,1.0,4.0
4,tree4_48362.uai,20,0.7683829931700195,0.9100970330739308,0.08990296692606921,0.2316170068299805,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8373883150697671,0.8410931109696576,0.15890688903034247,0.1626116849302329,100.0,1.0,5.0
5,tree4_48362.uai,20,0.7683168666936608,0.9100970330739308,0.08990296692606921,0.23168313330633905,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8373883150697671,0.8410931109696576,0.15890688903034247,0.1626116849302329,100.0,1.0,6.0
6,tree4_48362.uai,20,0.7479617396092881,0.9315446663388557,0.06845533366114438,0.2520382603907119,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8373883150697671,0.8421870276596628,0.1578129723403371,0.1626116849302329,30.0,1.0,7.0
7,tree4_48362.uai,20,0.7479617396092881,0.9315446663388557,0.06845533366114438,0.2520382603907119,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8373883150697671,0.8421870276596628,0.1578129723403371,0.1626116849302329,97.0,1.0,8.0
8,tree4_48362.uai,20,0.7403278942495972,0.9387862168450674,0.061213783154932686,0.25967210575040284,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8369977747757338,0.8421870276596628,0.1578129723403371,0.16300222522426627,98.0,1.0,9.0
9,tree4_48362.uai,20,0.7401484439902501,0.9387862168450674,0.061213783154932686,0.25985155600975013,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8367793073886627,0.8421870276596628,0.1578129723403371,0.1632206926113374,100.0,1.0,10.0
10,tree4_48362.uai,20,0.7388967631826235,0.9399722203827878,0.060027779617212174,0.26110323681737674,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8367159311959184,0.8421870276596628,0.1578129723403371,0.16328406880408164,100.0,1.0,11.0
11,tree4_48362.uai,20,0.7388967631826235,0.9399722929046843,0.06002770709531562,0.26110323681737674,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8367159311959184,0.8421870276596628,0.1578129723403371,0.16328406880408164,3.0,1.0,12.0
12,tree4_48362.uai,20,0.7367073990812204,0.942347574240688,0.05765242575931192,0.2632926009187799,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8367159311959184,0.8423730174161606,0.1576269825838394,0.16328406880408164,3.0,1.0,13.0
13,tree4_48362.uai,20,0.7367073990812204,0.942347574240688,0.05765242575931192,0.2632926009187799,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8367159311959184,0.8423730174161606,0.1576269825838394,0.16328406880408164,100.0,1.0,14.0
14,tree4_48362.uai,20,0.7367073990812204,0.942347574240688,0.05765242575931192,0.2632926009187799,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8367159311959184,0.8423730174161606,0.1576269825838394,0.16328406880408164,83.0,1.0,15.0
15,tree4_48362.uai,20,0.7367073990812204,0.942347574240688,0.05765242575931192,0.2632926009187799,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8367159311959184,0.8423730174161606,0.1576269825838394,0.16328406880408164,40.0,1.0,16.0
16,tree4_48362.uai,20,0.7367073990812204,0.942347574240688,0.05765242575931192,0.2632926009187799,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8367159311959184,0.8423730174161606,0.1576269825838394,0.16328406880408164,100.0,1.0,17.0
17,tree4_48362.uai,20,0.7367073990812204,0.942347574240688,0.05765242575931192,0.2632926009187799,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8367159311959184,0.8423730174161606,0.1576269825838394,0.16328406880408164,74.0,1.0,18.0
18,tree4_48362.uai,20,0.7365001225282362,0.942347574240688,0.05765242575931192,0.26349987747176384,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8367159311959184,0.8423730174161606,0.1576269825838394,0.16328406880408164,100.0,1.0,19.0
19,tree4_48362.uai,20,0.7365001225282362,0.942347574240688,0.05765242575931192,0.26349987747176384,0.7275,0.9452999999999999,0.054699999999999985,0.2725,0.8367159311959184,0.8423730174161606,0.1576269825838394,0.16328406880408164,85.0,1.0,20.0
20,tree4_54366.uai,20,0.02017309004130191,0.02017309004130191,0.979826909958698,0.979826909958698,0.020900000000000002,0.028600000000000004,0.9714,0.9791,0.02017309004130191,0.02017309004130191,0.979826909958698,0.979826909958698,4.0,0.0,1.0
