,model,numberPoints,Pcn0_lbound,Pcn0_ubound,Pcn1_lbound,Pcn1_ubound,Ptrue0_lbound,Ptrue0_ubound,Ptrue1_lbound,Ptrue1_ubound,Puq0_lbound,Puq0_ubound,Puq1_lbound,Puq1_ubound,num_points
0,poly4_52551.uai,20,0.8503010814717519,0.8503010814717519,0.14969891852824815,0.14969891852824815,0.06879999999999999,0.9688,0.0312,0.9312,0.8503010814717518,0.8503010814717518,0.14969891852824813,0.14969891852824813,1.0
1,poly4_52551.uai,20,0.8503010814717519,0.8761766063978813,0.12382339360211873,0.14969891852824815,0.06879999999999999,0.9688,0.0312,0.9312,0.8503010814717518,0.8761766063978815,0.12382339360211869,0.14969891852824813,2.0
2,poly4_52551.uai,20,0.13200939289499503,0.8761766063978813,0.12382339360211873,0.867990607105005,0.06879999999999999,0.9688,0.0312,0.9312,0.13200939289499505,0.8761766063978815,0.12382339360211869,0.8679906071050051,3.0
3,poly4_52551.uai,20,0.13200939289499503,0.8761766063978813,0.12382339360211873,0.867990607105005,0.06879999999999999,0.9688,0.0312,0.9312,0.13200939289499505,0.8761766063978815,0.12382339360211869,0.8679906071050051,4.0
4,poly4_52551.uai,20,0.13200939289499503,0.8761766063978813,0.12382339360211873,0.867990607105005,0.06879999999999999,0.9688,0.0312,0.9312,0.13200939289499505,0.8761766063978815,0.12382339360211869,0.8679906071050051,5.0
5,poly4_52551.uai,20,0.10716597748213923,0.8761766063978813,0.12382339360211873,0.8928340225178608,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748213927,0.8761766063978815,0.12382339360211869,0.8928340225178608,6.0
6,poly4_52551.uai,20,0.10716597748213923,0.8761766063978813,0.12382339360211873,0.8928340225178608,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748213927,0.8761766063978815,0.12382339360211869,0.8928340225178608,7.0
7,poly4_52551.uai,20,0.10716597748213923,0.8761766063978813,0.12382339360211873,0.8928340225178608,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748213927,0.8761766063978815,0.12382339360211869,0.8928340225178608,8.0
8,poly4_52551.uai,20,0.10716597748213923,0.8761766063978813,0.12382339360211873,0.8928340225178608,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748213927,0.8761766063978815,0.12382339360211869,0.8928340225178608,9.0
9,poly4_52551.uai,20,0.10716597748213923,0.9274095545213331,0.07259044547866687,0.8928340225178608,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748213927,0.9274095545213332,0.07259044547866686,0.8928340225178608,10.0
10,poly4_52551.uai,20,0.10716597748213923,0.9274095545213331,0.07259044547866687,0.8928340225178608,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748213927,0.9274095545213332,0.07259044547866686,0.8928340225178608,11.0
11,poly4_52551.uai,20,0.10716597748213923,0.9274095545213331,0.07259044547866687,0.8928340225178608,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748213927,0.9274095545213332,0.07259044547866686,0.8928340225178608,12.0
12,poly4_52551.uai,20,0.10716597748213923,0.9274095545213331,0.07259044547866687,0.8928340225178608,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748213927,0.9274095545213332,0.07259044547866686,0.8928340225178608,13.0
13,poly4_52551.uai,20,0.10716597748213923,0.9274095545213331,0.07259044547866687,0.8928340225178608,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748213927,0.9274095545213332,0.07259044547866686,0.8928340225178608,14.0
14,poly4_52551.uai,20,0.10716597748213923,0.9274095545213331,0.07259044547866687,0.8928340225178608,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748213927,0.9274095545213332,0.07259044547866686,0.8928340225178608,15.0
15,poly4_52551.uai,20,0.10716597748213923,0.9507549930984692,0.04924500690153072,0.8928340225178608,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748213927,0.9507549930984692,0.049245006901530705,0.8928340225178608,16.0
16,poly4_52551.uai,20,0.07286560926668934,0.9507549930984692,0.04924500690153072,0.9271343907333106,0.06879999999999999,0.9688,0.0312,0.9312,0.07286560926668942,0.9507549930984692,0.049245006901530705,0.9271343907333107,17.0
17,poly4_52551.uai,20,0.07286560926668934,0.9507549930984692,0.04924500690153072,0.9271343907333106,0.06879999999999999,0.9688,0.0312,0.9312,0.07286560926668942,0.9507549930984692,0.049245006901530705,0.9271343907333107,18.0
18,poly4_52551.uai,20,0.07286560926668934,0.9507549930984692,0.04924500690153072,0.9271343907333106,0.06879999999999999,0.9688,0.0312,0.9312,0.07286560926668942,0.9507549930984692,0.049245006901530705,0.9271343907333107,19.0
19,poly4_52551.uai,20,0.07286560926668934,0.9507549930984692,0.04924500690153072,0.9271343907333106,0.06879999999999999,0.9688,0.0312,0.9312,0.07286560926668942,0.9507549930984692,0.049245006901530705,0.9271343907333107,20.0
20,poly4_52961.uai,20,0.8688382162490051,0.8688382162490051,0.13116178375099485,0.13116178375099485,0.508,0.97,0.03,0.492,0.8688382162490051,0.8688382162490051,0.13116178375099485,0.13116178375099485,1.0
21,poly4_52961.uai,20,0.6297561062084899,0.8688382162490051,0.13116178375099485,0.3702438937915102,0.508,0.97,0.03,0.492,0.6297561062084921,0.8688382162490051,0.13116178375099485,0.37024389379150785,2.0
22,poly4_52961.uai,20,0.6297561062084899,0.8688382162490051,0.13116178375099485,0.3702438937915102,0.508,0.97,0.03,0.492,0.6297561062084921,0.8688382162490051,0.13116178375099485,0.37024389379150785,3.0
